pressure,density
0,3.584
0,3.35
0,3.001
10.662,3.8255
16.889,3.937
17.002,3.9261
17.742,3.9191
18.866,3.9461
19.647,3.9597
19.759,3.9793
20.031,3.9768
20.058,3.9727
20.093,3.9604
20.782,3.9425
21.33,3.9921
25.018,4.0663
26.912,4.0842
28.823,4.0941
29.372,4.0369
30.378,4.1082
31.198,4.1409
32.178,4.1245
33.494,4.1041
33.687,4.1076
34.495,4.1415
37.403,4.132
37.732,4.1989
38.034,4.1429
38.88,4.2345
39.796,4.1954
42.918,4.1594
43.125,4.2751
44.7,4.3425
46.242,4.2991
48.328,4.3134
48.814,4.2932
49.864,4.3367
50.624,4.3665
52.418,4.3797
52.959,4.3815
59.13,4.4757
61.529,4.4885
61.845,4.4132
62.785,4.4748
63.369,4.4644
65.682,4.5431
68.415,4.5584
69.655,4.5351
70.165,4.4169
70.482,4.434
74.174,4.5057
75.104,4.6253
77.894,4.6351
80.355,4.6961
81.26,4.4795
82.455,4.6442
82.518,4.7187
82.774,4.683
83.713,4.6858
85.279,4.7075
85.414,4.7263
87.245,4.7393
88.134,4.7627
88.223,4.7151
90.491,4.7506
91.258,4.7746
91.31,4.7739
91.553,4.6315
91.679,4.7953
93.053,4.7636
94.635,4.8071
94.775,4.8022
94.971,4.6684
97.74,4.8144
105.975,4.8515
106.274,4.8747
106.446,4.9254
106.584,4.9281
110.019,4.9597
110.068,4.9356
113.577,4.9664
113.767,4.98
116.942,5.0159
117.464,4.9506
120.358,5.0483
121.718,5.0554
124.457,5.0565
125.698,5.0619
258.315,5.8928
